"Sexo","Edad","mPeso","sPeso","p05Peso","p10Peso","p25Peso","p50Peso","p75Peso","p90Peso","p95Peso"
1,0,3.53224390243902,0.515310701972905,2.697,2.88,3.175,3.55,3.88,4.17,4.38
1,0.5,3.9812472406181,0.580333196937342,3,3.225,3.61,4,4.36,4.695,4.87
1,1,4.47109473684211,0.629793735467291,3.42,3.664,4.04,4.45,4.925,5.25,5.49
1,1.5,4.88045081967213,0.696065516551897,3.7415,3.949,4.3575,4.9,5.3825,5.747,5.897
1,2,5.29878048780488,0.724913462484319,4.14,4.391,4.8475,5.295,5.745,6.219,6.549
1,2.5,5.6667362924282,0.729055294110591,4.49,4.73,5.18,5.645,6.16,6.595,6.83
1,3,6.04859668508287,0.778713141565883,4.764,5.02,5.56,6.06,6.55,7.03,7.384
1,3.5,6.41555555555556,0.866367929017315,4.962,5.246,5.76,6.54,6.975,7.448,7.735
1,4,6.73382352941176,0.831588701968124,5.31,5.621,6.18,6.71,7.26,7.88,8.1085
1,4.5,6.9935593220339,0.893440046120158,5.532,5.89,6.42,7.01,7.55,8.108,8.412
1,5,7.33575197889182,0.932660093440801,5.76,6.147,6.69,7.38,7.97,8.47,8.84
1,5.5,7.63461538461539,0.980051189708048,5.8445,6.307,7.1,7.695,8.2225,8.865,9.225
1,6,7.87633676092545,0.996864492125711,6.3585,6.637,7.14,7.885,8.5375,9.15,9.51
1,6.5,8.21594813614263,0.972233730065565,6.67,6.94,7.55,8.2,8.9,9.42,9.802
1,7,8.35705802968961,1.05645415762755,6.53,7.08,7.69,8.33,9.09,9.69,10.09
1,7.5,8.64245614035088,1.1027071906955,6.75,7.23,7.93,8.63,9.37,10.1,10.43
1,8,8.80396226415094,1.05582848963131,7.091,7.233,8.1475,8.83,9.4725,10.177,10.599
1,8.5,9.07351910828026,1.04143420520983,7.3075,7.754,8.3775,9.1,9.74,10.393,10.7465
1,9,9.31451219512195,1.06372218645706,7.5395,7.94,8.63,9.295,10.04,10.66,11.0205
1,9.5,9.40167613636364,1.10866894560629,7.56,7.96,8.64,9.38,10.14,10.91,11.1685
1,10,9.66347540983607,1.11451829939637,7.84,8.244,8.92,9.65,10.53,11,11.374
1,10.5,9.84552710843374,1.1492891209034,7.96,8.43,9.06,9.83,10.63,11.29,11.73
1,11,10.0480331753554,1.20553303527291,8,8.48,9.2825,10.055,10.86,11.498,12.0175
1,11.5,10.1352825229961,1.18177251142508,8.26,8.64,9.34,10.13,10.91,11.6,12.13
1,12,10.2986416861827,1.19542328896827,8.46,8.78,9.44,10.29,11.1,11.79,12.22
1,12.5,10.5379182156134,1.20589355698016,8.5685,9.027,9.6825,10.54,11.39,12.03,12.5015
1,13,10.5365783664459,1.27601078835911,8.436,8.882,9.71,10.5,11.4,12.07,12.55
1,13.5,10.735664556962,1.24880146717376,8.66,9.24,9.91,10.745,11.52,12.308,12.91
1,14,10.862543554007,1.25095627394461,8.7295,9.28,10.01,10.845,11.7,12.541,12.8935
1,14.5,10.930155210643,1.27880145496966,8.7605,9.342,10.02,10.965,11.8,12.509,12.9995
1,15,11.0408501440922,1.34237067029634,8.69,9.266,10.105,11.075,11.99,12.64,13.115
1,15.5,11.0740072202166,1.24954868952111,8.904,9.438,10.3,11.06,11.86,12.644,12.98
1,16,11.2792660550459,1.36376047962921,9.023,9.42,10.3625,11.37,12.1575,13.01,13.46
1,16.5,11.4584297520661,1.33461936651504,9.348,9.71,10.515,11.4,12.4,13.098,13.648
1,17,11.5710495626822,1.34481332228877,9.465,9.812,10.645,11.46,12.515,13.326,13.709
1,17.5,11.6284317718941,1.35151154416412,9.465,9.92,10.675,11.64,12.52,13.42,13.8
1,18,11.7603859250851,1.31878967789748,9.59,10.08,10.85,11.77,12.71,13.45,13.78
1,18.5,11.8564146868251,1.36153755743399,9.571,10.148,10.95,11.88,12.86,13.574,14.038
1,19,11.840736,1.28608508351947,9.86,10.224,10.95,11.8,12.72,13.45,14.008
1,19.5,11.988025343189,1.40176919599827,9.816,10.256,11.035,11.95,12.9,13.804,14.341
1,20,12.0229122340426,1.42715462926371,9.6455,10.203,11.045,12,13.05,13.78,14.26
1,20.5,12.142027027027,1.45319643918724,9.734,10.339,11.2,12.11,13.0625,14.102,14.54
1,21,12.3803345070423,1.38656506320613,10.1205,10.707,11.3875,12.39,13.3,14.239,14.6165
1,21.5,12.3892787286064,1.36919933650001,10.0625,10.657,11.46,12.37,13.29,14.249,14.6315
1,22,12.3625263157895,1.45007549712711,10.162,10.554,11.22,12.37,13.26,14.18,14.894
1,22.5,12.4755677655678,1.58505420323483,9.87,10.432,11.44,12.48,13.48,14.598,15.048
1,23,12.5736633663366,1.46999374258231,10.186,10.648,11.545,12.56,13.59,14.454,14.957
1,23.5,12.6375420875421,1.52136063936635,10.01,10.782,11.72,12.65,13.63,14.524,15.136
1,24,12.6868883610451,1.40482944546319,10.39,10.85,11.85,12.71,13.62,14.42,14.92
1,24.5,12.6095454545455,1.53256068165089,10.101,10.73,11.51,12.525,13.585,14.683,15.255
1,25,12.8753518123667,1.55975676587686,10.424,10.868,11.7,12.9,13.89,14.792,15.392
1,25.5,12.8806294964029,1.52829250518304,10.32,10.915,11.83,12.94,13.86,14.715,15.485
1,26,12.9104213938412,1.49851327319152,10.478,10.972,11.85,13.02,13.93,14.8,15.292
1,26.5,13.0189784946237,1.5310428995416,10.533,11.16,11.9075,13.045,14.0725,14.944,15.5385
1,27,13.0498157453936,1.57258127889943,10.576,11.18,11.97,13.04,14,15.118,15.632
1,27.5,13.1641025641026,1.44388688849925,10.926,11.337,12.25,13.27,14.1375,14.89,15.5895
1,28,13.2312277227723,1.47294034217645,10.828,11.378,12.19,13.22,14.19,15.12,15.748
1,28.5,13.3031544715447,1.5339872043797,10.7,11.338,12.315,13.33,14.415,15.186,15.793
1,29,13.3507386363636,1.57365400175814,10.781,11.321,12.3475,13.335,14.475,15.399,15.896
1,29.5,13.4242789598109,1.60964361161372,10.67,11.27,12.38,13.4,14.5075,15.54,16.13
1,30,13.45008,1.59230745828537,10.674,11.394,12.335,13.52,14.52,15.418,16.105
1,30.5,13.5542682926829,1.57217385708117,10.9845,11.448,12.4925,13.555,14.6325,15.471,16.0455
1,31,13.7149761526232,1.62722768649563,11.008,11.444,12.65,13.73,14.88,15.76,16.36
1,31.5,13.8139617834395,1.58209915243308,11.212,11.81,12.74,13.7,14.94,15.916,16.432
1,32,13.7027766599598,1.65409009266761,11.003,11.586,12.5525,13.76,14.81,15.757,16.3135
1,32.5,13.8697611940299,1.67897228236479,11.0845,11.689,12.6725,13.925,14.96,16.031,16.8155
1,33,13.890621814475,1.6746696660844,11.11,11.79,12.79,13.87,14.99,16.04,16.63
1,33.5,13.9847753530167,1.73816350934011,11.107,11.758,12.845,13.98,15.21,16.25,16.701
1,34,14.074221598878,1.67155926709442,11.262,11.864,12.88,14.11,15.22,16.28,16.982
1,34.5,14.214061302682,1.71709290889165,11.44,11.81,13.18,14.15,15.19,16.38,16.92
1,35,14.2461083743842,1.99712197084071,11.061,11.762,12.815,14.27,15.5,16.946,17.647
1,35.5,14.3312720156556,1.84537124868419,11.27,11.99,13.12,14.33,15.63,16.63,17.2
1,36,14.3205393586006,1.74288220910049,11.585,12.2,13.1375,14.23,15.5075,16.615,17.3075
2,0,3.4295045045045,0.486757883897301,2.691,2.85,3.0825,3.425,3.7575,4.069,4.289
2,0.5,3.7644708994709,0.508059140792453,2.94,3.095,3.41,3.77,4.1125,4.405,4.61
2,1,4.19204347826087,0.623184313070955,3.179,3.469,3.7525,4.18,4.62,5,5.2455
2,1.5,4.50896551724138,0.587195077816438,3.511,3.802,4.1075,4.505,4.9025,5.209,5.419
2,2,4.86937078651685,0.616113991113293,3.85,4.03,4.41,4.89,5.3,5.682,5.88
2,2.5,5.25062874251497,0.683543514070497,4.1365,4.356,4.785,5.245,5.7675,6.17,6.297
2,3,5.61501792114695,0.705323985228142,4.387,4.718,5.125,5.68,6.135,6.462,6.702
2,3.5,5.89757372654156,0.740762991781678,4.5925,4.91,5.42,5.93,6.4,6.79,7.105
2,4,6.1700404040404,0.750617558422385,4.81,5.194,5.755,6.17,6.66,7.046,7.363
2,4.5,6.42067403314917,0.81208317343421,5.15,5.37,5.91,6.41,6.93,7.476,7.79
2,5,6.6577347242921,0.813176154275306,5.345,5.7,6.085,6.62,7.185,7.73,8.04
2,5.5,6.91552736982644,0.84651322965435,5.454,5.836,6.35,6.94,7.5,8.042,8.246
2,6,7.13687012987013,0.878099049936471,5.7335,6.01,6.54,7.14,7.71,8.273,8.5855
2,6.5,7.33755186721992,0.867461948256857,5.9,6.24,6.81,7.34,7.91,8.43,8.67
2,7,7.73710784313726,0.888740719856078,6.2815,6.603,7.15,7.715,8.3125,8.944,9.157
2,7.5,7.8698003992016,0.945672438045987,6.31,6.72,7.17,7.87,8.5,9.03,9.42
2,8,8.14714285714286,0.944312273372986,6.71,6.97,7.46,8.1,8.83,9.44,9.63
2,8.5,8.31309151785714,0.975140119709797,6.745,7.04,7.62,8.35,8.98,9.53,9.94
2,9,8.48433962264151,0.989950466026702,6.838,7.23,7.86,8.48,9.11,9.75,10.162
2,9.5,8.74116504854369,1.01279912329428,7.107,7.51,8.055,8.76,9.365,10.024,10.463
2,10,8.87541666666667,1.03730386278196,7.216,7.523,8.1775,8.885,9.5825,10.25,10.5425
2,10.5,9.00393687707641,1.05067347833287,7.3,7.661,8.3425,8.95,9.6975,10.4,10.669
2,11,9.22470588235294,1.07979755927213,7.532,7.89,8.45,9.21,9.97,10.584,10.97
2,11.5,9.41329710144928,1.08163786479311,7.461,7.922,8.7575,9.455,10.12,10.82,11.179
2,12,9.53628318584071,1.1168114888698,7.7575,8.115,8.83,9.49,10.345,10.98,11.4425
2,12.5,9.7165261627907,1.10438335163953,7.91,8.287,8.95,9.71,10.49,11.09,11.503
2,13,9.80192644483363,1.11210995994155,7.94,8.4,8.985,9.8,10.515,11.3,11.68
2,13.5,9.97767156862745,1.1536440374251,8.007,8.53,9.26,9.985,10.7,11.413,11.839
2,14,10.0725591715976,1.10836728277705,8.2975,8.63,9.31,10.095,10.89,11.415,11.835
2,14.5,10.2008292682927,1.18923956929439,8.297,8.629,9.3625,10.19,10.9675,11.73,12.2455
2,15,10.3641009852217,1.15307621783734,8.501,8.871,9.65,10.365,11.18,11.839,12.1345
2,15.5,10.4529372937294,1.18955760852593,8.743,9.092,9.66,10.28,11.28,12.068,12.439
2,16,10.5500186915888,1.22219525265198,8.538,8.978,9.745,10.51,11.37,12.006,12.623
2,16.5,10.6602875399361,1.19112970794887,8.604,9.304,9.89,10.69,11.38,12.07,12.788
2,17,10.7229278350515,1.21433265902097,8.646,9.088,9.94,10.72,11.51,12.262,12.646
2,17.5,10.8640437788018,1.25431964415276,8.7835,9.237,10.0075,10.86,11.6325,12.486,12.9765
2,18,10.9761631944444,1.21390094908556,8.97,9.41,10.205,11.02,11.8025,12.55,12.965
2,18.5,11.0880193905817,1.26150674265317,9.0105,9.452,10.2625,11.12,11.965,12.677,13.1595
2,19,11.2813357400722,1.33886038195827,9.17,9.596,10.37,11.21,12.23,13.128,13.552
2,19.5,11.3314401076716,1.30838234677153,9.17,9.642,10.48,11.3,12.225,12.958,13.409
2,20,11.377097107438,1.32098445900107,9.14,9.647,10.4575,11.42,12.35,13.07,13.4765
2,20.5,11.4818385650224,1.45871772981026,9.313,9.824,10.35,11.46,12.53,13.498,13.796
2,21,11.5227511961722,1.33551285188256,9.23,9.775,10.6175,11.555,12.5,13.21,13.5925
2,21.5,11.5970178571429,1.35684768295604,9.25,9.85,10.7475,11.55,12.49,13.335,13.7605
2,22,11.7839625167336,1.38570462469608,9.573,10.04,10.83,11.72,12.72,13.52,14.084
2,22.5,11.7948416289593,1.32901698949098,9.6515,10.093,10.9175,11.84,12.6825,13.437,13.987
2,23,11.892079414838,1.40089554514772,9.54,10.044,10.99,11.95,12.79,13.604,14.112
2,23.5,11.9860981308411,1.34053851938828,9.704,10.345,11.1175,11.92,12.8575,13.783,14.1165
2,24,12.0634674922601,1.3985374602147,9.81,10.19,11.1025,12.1,13.02,13.805,14.3575
2,24.5,12.1222005571031,1.41453922946212,9.87,10.267,11.08,12.14,13.075,13.903,14.406
2,25,12.1047255689424,1.43579247286049,9.696,10.256,11.19,12.15,13.03,13.908,14.44
2,25.5,12.240303030303,1.37108623884984,9.7325,10.596,11.46,12.26,13.12,13.89,14.491
2,26,12.3370448548813,1.47429744165356,10.02,10.464,11.4,12.335,13.29,14.289,14.74
2,26.5,12.445,1.50035787942896,9.9965,10.54,11.3925,12.41,13.5,14.447,15.04
2,27,12.5597063142438,1.50263637986454,10.08,10.66,11.55,12.62,13.58,14.39,15.11
2,27.5,12.5383878241263,1.4915653731953,10.266,10.71,11.5,12.51,13.515,14.46,14.91
2,28,12.7005986696231,1.57875572549975,9.85,10.65,11.745,12.75,13.79,14.64,15.12
2,28.5,12.7126162790698,1.54599835685047,10.2905,10.98,11.62,12.62,13.695,14.74,15.2985
2,29,12.8011619047619,1.58581196918154,10.262,10.794,11.78,12.79,13.86,14.766,15.446
2,29.5,12.8222448979592,1.61116909865445,10.194,10.696,11.77,12.87,13.89,14.794,15.464
2,30,12.9577879714577,1.7078241616873,10.15,10.87,11.72,12.99,14.14,15.18,15.74
2,30.5,13.077380952381,1.58298169712392,10.4485,11.1,12.0125,13.03,14.1375,15.253,15.6265
2,31,13.1043496801706,1.68997112543611,10.25,10.967,11.965,13.12,14.1875,15.233,15.9715
2,31.5,12.9548325358852,1.72365557857471,10.146,10.668,11.71,13.09,14.02,15.004,15.872
2,32,13.3041756272401,1.76419962210123,10.4785,11.027,12.055,13.26,14.4775,15.53,16.2515
2,32.5,13.3405387205387,1.73492309236473,10.715,11.15,12.155,13.29,14.54,15.57,16.25
2,33,13.3615486725664,1.80666440093905,10.435,11.165,12.26,13.19,14.4275,15.65,16.4675
2,33.5,13.5182465753425,1.80884867990635,10.5735,11.139,12.33,13.54,14.72,15.993,16.5455
2,34,13.5917123287671,1.87916083223293,10.4745,11.139,12.335,13.505,14.83,15.987,16.62
2,34.5,13.7167936117936,1.81314814303571,10.6365,11.363,12.4425,13.715,14.9975,16.11,16.59
2,35,13.770975975976,1.80174037234747,10.87,11.51,12.5425,13.68,14.9175,16.065,16.985
