"Sexo","Edades","Largos","Pesos","HCraneo"
1,0,50.37,3.5,37.32
1,0,45.82,3.77,35.2
1,0,52.32,3.42,36.75
1,0,48.6,2.65,37.01
1,0,44.95,3,36.87
1,0,50.97,4.09,35.7
1,0,50.99,3.5,37.84
1,0,51.52,3.65,36.93
1,0,52.38,3.3,34.92
1,0,49.27,2.16,34.38
1,0,52.65,4.07,36.08
1,0,47.8,3.46,36.58
1,0,47.98,2.9,36.37
1,0,47.59,3.92,36.64
1,0,49.65,3.64,35.24
1,0,49.07,4.07,35.97
1,0,54.2,2.6,36.79
1,0,52.24,3.9,34.96
1,0,51.35,2.52,32.65
1,0,45.11,3.36,36.34
1,0,49.45,3.9,36
1,0,51.13,4.41,35.55
1,0,46.1,3.36,34.31
1,0,51.15,3.58,39.49
1,0,47.02,4.36,37.01
1,0,46.56,2.97,36.6
1,0,47.58,3.15,36.64
1,0,47.96,2.85,34.47
1,0,49.42,3.43,35.56
1,0,47.45,3.58,31.7
1,0,53.3,2.85,36.48
1,0,48.27,3.27,34.84
1,0,52.43,3.48,35.19
1,0,52.34,3.74,34.49
1,0,52.39,3.33,35.93
1,0,51.87,3.52,36.51
1,0,51.96,3.81,35.59
1,0,50,3.73,35.15
1,0,53.22,3.6,35.19
1,0,46.38,3.08,37.18
1,0,49.08,4.31,38.76
1,0,51.76,2.98,37
1,0,48.92,3.73,37.68
1,0,49.43,3.5,38.03
1,0,51.59,4.6,37.51
1,0,53.11,3.26,34.39
1,0,50.85,3.63,34.96
1,0,51.94,2.63,37.72
1,0,51.88,3.27,37.35
1,0,50.72,4.81,34.57
1,0,52.93,4.1,32.87
1,0,49.76,3.39,33.99
1,0,52.91,3.78,35.04
1,0,53.27,3.65,38.1
1,0,50.86,3.55,37.28
1,0,47.8,4.38,36.81
1,0,50.77,3.04,34.61
1,0,49.75,3.63,39.07
1,0,48.84,3.38,35.84
1,0,52.02,3.65,36.39
1,0,48.04,4.32,35.58
1,0,45.59,4.08,36.74
1,0,48.21,2.78,34.09
1,0,53.47,3.57,34.53
1,0,52.06,4.38,38
1,0,51.61,3.21,33.6
1,0,46.3,3.27,34.78
1,0,46.85,3.83,37.72
1,0,51.39,3.3,34.14
1,0,52.51,3.72,37.29
1,0,45.73,4.13,34.95
1,0,53.14,4.03,36.4
1,0,47.79,4.03,35.75
1,0,45.99,3.29,35.97
1,0,50.79,3.18,37.5
1,0,48.5,3.68,36.91
1,0,49.96,3.42,38.41
1,0,52.14,2.62,36.21
1,0,53.63,3.13,34.56
1,0,48.06,3.57,38.36
1,0,50.61,3.66,35.57
